Date,Count,WeekDate,WeekCount,Mean
2014-12-07,2693.0,2014-12-01,2693.0,2693.0
2014-12-08,6569.0,2014-12-08,43873.0,6268.0
2014-12-09,6883.0,2014-12-08,43873.0,6268.0
2014-12-10,7846.0,2014-12-08,43873.0,6268.0
2014-12-11,916.0,2014-12-08,43873.0,6268.0
2014-12-12,5978.0,2014-12-08,43873.0,6268.0
2014-12-13,8131.0,2014-12-08,43873.0,6268.0
2014-12-14,7550.0,2014-12-08,43873.0,6268.0
2014-12-15,3189.0,2014-12-15,29489.0,4213.0
2014-12-16,4956.0,2014-12-15,29489.0,4213.0
2014-12-17,7196.0,2014-12-15,29489.0,4213.0
2014-12-18,4213.0,2014-12-15,29489.0,4213.0
2014-12-19,858.0,2014-12-15,29489.0,4213.0
2014-12-20,7121.0,2014-12-15,29489.0,4213.0
2014-12-21,1956.0,2014-12-15,29489.0,4213.0
2014-12-22,7855.0,2014-12-22,35857.0,5122.0
2014-12-23,4344.0,2014-12-22,35857.0,5122.0
2014-12-24,5122.0,2014-12-22,35857.0,5122.0
2014-12-25,7227.0,2014-12-22,35857.0,5122.0
2014-12-26,6485.0,2014-12-22,35857.0,5122.0
2014-12-27,21.0,2014-12-22,35857.0,5122.0
2014-12-28,4803.0,2014-12-22,35857.0,5122.0
2014-12-29,1542.0,2014-12-29,20198.0,2885.0
2014-12-30,3669.0,2014-12-29,20198.0,2885.0
2014-12-31,3823.0,2014-12-29,20198.0,2885.0
2015-01-01,2478.0,2014-12-29,20198.0,2885.0
2015-01-02,2142.0,2014-12-29,20198.0,2885.0
2015-01-03,2708.0,2014-12-29,20198.0,2885.0
2015-01-04,3836.0,2014-12-29,20198.0,2885.0
2015-01-05,8010.0,2015-01-05,48312.0,6902.0
2015-01-06,12668.0,2015-01-05,48312.0,6902.0
2015-01-07,7875.0,2015-01-05,48312.0,6902.0
2015-01-08,4802.0,2015-01-05,48312.0,6902.0
2015-01-09,6755.0,2015-01-05,48312.0,6902.0
2015-01-10,4975.0,2015-01-05,48312.0,6902.0
2015-01-11,3227.0,2015-01-05,48312.0,6902.0
2015-01-12,5784.0,2015-01-12,25688.0,3670.0
2015-01-13,21.0,2015-01-12,25688.0,3670.0
2015-01-14,3670.0,2015-01-12,25688.0,3670.0
2015-01-15,1961.0,2015-01-12,25688.0,3670.0
2015-01-16,4543.0,2015-01-12,25688.0,3670.0
2015-01-17,3670.0,2015-01-12,25688.0,3670.0
2015-01-18,6039.0,2015-01-12,25688.0,3670.0
2015-01-19,5754.0,2015-01-19,40077.0,5725.0
2015-01-20,154.0,2015-01-19,40077.0,5725.0
2015-01-21,2337.0,2015-01-19,40077.0,5725.0
2015-01-22,3013.0,2015-01-19,40077.0,5725.0
2015-01-23,7322.0,2015-01-19,40077.0,5725.0
2015-01-24,15772.0,2015-01-19,40077.0,5725.0
2015-01-25,5725.0,2015-01-19,40077.0,5725.0
2015-01-26,3668.0,2015-01-26,25676.0,3668.0
2015-01-27,5884.0,2015-01-26,25676.0,3668.0
2015-01-28,4180.0,2015-01-26,25676.0,3668.0
2015-01-29,5802.0,2015-01-26,25676.0,3668.0
2015-01-30,3300.0,2015-01-26,25676.0,3668.0
2015-01-31,22.0,2015-01-26,25676.0,3668.0
2015-02-01,2820.0,2015-01-26,25676.0,3668.0
2015-02-02,5591.0,2015-02-02,33013.0,4716.0
2015-02-03,2843.0,2015-02-02,33013.0,4716.0
2015-02-04,4330.0,2015-02-02,33013.0,4716.0
2015-02-05,6108.0,2015-02-02,33013.0,4716.0
2015-02-06,1389.0,2015-02-02,33013.0,4716.0
2015-02-07,9092.0,2015-02-02,33013.0,4716.0
2015-02-08,3660.0,2015-02-02,33013.0,4716.0
2015-02-09,4409.0,2015-02-09,23384.0,3341.0
2015-02-10,6266.0,2015-02-09,23384.0,3341.0
2015-02-11,3759.0,2015-02-09,23384.0,3341.0
2015-02-12,1996.0,2015-02-09,23384.0,3341.0
2015-02-13,1364.0,2015-02-09,23384.0,3341.0
2015-02-14,3770.0,2015-02-09,23384.0,3341.0
2015-02-15,1820.0,2015-02-09,23384.0,3341.0
2015-02-16,2745.0,2015-02-16,31083.0,4440.0
2015-02-17,2681.0,2015-02-16,31083.0,4440.0
2015-02-18,5609.0,2015-02-16,31083.0,4440.0
2015-02-19,2105.0,2015-02-16,31083.0,4440.0
2015-02-20,8883.0,2015-02-16,31083.0,4440.0
2015-02-21,5577.0,2015-02-16,31083.0,4440.0
2015-02-22,3483.0,2015-02-16,31083.0,4440.0
2015-02-23,510.0,2015-02-23,19337.0,2762.0
2015-02-24,1955.0,2015-02-23,19337.0,2762.0
2015-02-25,2556.0,2015-02-23,19337.0,2762.0
2015-02-26,3420.0,2015-02-23,19337.0,2762.0
2015-02-27,2696.0,2015-02-23,19337.0,2762.0
2015-02-28,5438.0,2015-02-23,19337.0,2762.0
2015-03-01,2762.0,2015-02-23,19337.0,2762.0
2015-03-02,32.0,2015-03-02,20884.0,2983.0
2015-03-03,1202.0,2015-03-02,20884.0,2983.0
2015-03-04,5009.0,2015-03-02,20884.0,2983.0
2015-03-05,4678.0,2015-03-02,20884.0,2983.0
2015-03-06,1778.0,2015-03-02,20884.0,2983.0
2015-03-07,4611.0,2015-03-02,20884.0,2983.0
2015-03-08,3574.0,2015-03-02,20884.0,2983.0
2015-03-09,11653.0,2015-03-09,41171.0,5882.0
2015-03-10,2346.0,2015-03-09,41171.0,5882.0
2015-03-11,4089.0,2015-03-09,41171.0,5882.0
2015-03-12,5753.0,2015-03-09,41171.0,5882.0
2015-03-13,10050.0,2015-03-09,41171.0,5882.0
2015-03-14,6300.0,2015-03-09,41171.0,5882.0
2015-03-15,980.0,2015-03-09,41171.0,5882.0
2015-03-16,916.0,2015-03-16,22434.0,3205.0
2015-03-17,1240.0,2015-03-16,22434.0,3205.0
2015-03-18,4857.0,2015-03-16,22434.0,3205.0
2015-03-19,3751.0,2015-03-16,22434.0,3205.0
2015-03-20,5653.0,2015-03-16,22434.0,3205.0
2015-03-21,3205.0,2015-03-16,22434.0,3205.0
2015-03-22,2812.0,2015-03-16,22434.0,3205.0
2015-03-23,1005.0,2015-03-23,11637.0,1662.0
2015-03-24,2750.0,2015-03-23,11637.0,1662.0
2015-03-25,1115.0,2015-03-23,11637.0,1662.0
2015-03-26,1159.0,2015-03-23,11637.0,1662.0
2015-03-27,3780.0,2015-03-23,11637.0,1662.0
2015-03-28,1662.0,2015-03-23,11637.0,1662.0
2015-03-29,166.0,2015-03-23,11637.0,1662.0
2015-03-30,8395.0,2015-03-30,45740.0,6534.0
2015-03-31,1999.0,2015-03-30,45740.0,6534.0
2015-04-01,7829.0,2015-03-30,45740.0,6534.0
2015-04-02,2117.0,2015-03-30,45740.0,6534.0
2015-04-03,6534.0,2015-03-30,45740.0,6534.0
2015-04-04,6534.0,2015-03-30,45740.0,6534.0
2015-04-05,12332.0,2015-03-30,45740.0,6534.0
